mena	16x	550x241	97874	97874	0x4f5515e2e8daa8ec	OK
middleeast	normal	2200x2060	3449078	3449078	0x9248e8077e76f81a	OK
middleeast	4x	1100x1030	856603	856603	0x05c2ffd577cf4e5f	OK
middleeast	16x	550x515	211600	211600	0xbff13e076b78588f	OK
milkyway	normal	1500x1500	442979	442979	0x25ac051c17d102b7	OK
milkyway	4x	750x750	105978	105978	0xbf9e17a5af565c01	OK
milkyway	16x	375x375	24777	24777	0x8f83f26fe2753bcc	OK
mississippiriver	normal	400x4200	1500944	1500944	0xf5e08e3a1153b82a	OK
mississippiriver	4x	200x2100	370175	370175	0x3e57c6860e06d7a9	OK
mississippiriver	16x	100x1050	90334	90334	0xd36e58f33adf95f0	OK
montreal	normal	1528x1500	1954940	1954940	0x535d1b2d3c092bb5	OK
montreal	4x	764x750	483571	483571	0x81f6d783b4ffcbf0	OK
montreal	16x	382x375	118554	118554	0x16cb3e4759897246	OK
newyorkcity	normal	1500x1900	1648646	1648646	0x17500bcbf80f02ad	OK
newyorkcity	4x	750x950	406215	406215	0x8a0ac52f544e54d1	OK
newyorkcity	16x	375x475	98783	98783	0x53016d8c6eed6989	OK
niledelta	normal	1556x1280	1363238	1363238	0x2d0f190631488004	OK
niledelta	4x	778x640	336925	336925	0xf17db09f787e21f8	OK
niledelta	16x	389x320	82733	82733	0xf4f509218d026515	OK
northamerica	normal	2800x1448	1243929	1243929	0x9c36e813c33861a2	OK
northamerica	4x	1400x724	294494	294494	0x6b0ea23efaa3290f	OK
northamerica	16x	700x362	67500	67500	0xc2c56ce6aa6450ef	OK
northwestpassage	normal	2500x1664	1569905	1569905	0xf1fc1feaad0e78c7	OK
northwestpassage	4x	1250x832	379907	379907	0xb6cfed49c8cf43c9	OK
northwestpassage	16x	625x416	89831	89831	0xc203aa6dd032b2e2	OK
oceania	normal	2000x1000	194648	194648	0xbcf9688cbd4d8d62	OK
oceania	4x	1000x500	46259	46259	0x4156cf6a9b717bc8	OK
oceania	16x	500x250	10846	10846	0x40d5cdab65cdd971	OK
onion	normal	512x512	210555	210555	0x98dc7bbacf48d031	OK
onion	4x	256x256	51713	51713	0x6b63b1d523c8cfe3	OK
onion	16x	128x128	12499	12499	0x1ac4f32e63debe9b	OK
pangaea	normal	1000x1000	420335	420335	0xebffa87c2568cc58	OK
pangaea	4x	500x500	102211	102211	0x853a1f93775b09b0	OK
pangaea	16x	250x250	24365	24365	0x2c6e9087a8078874	OK
passage	normal	6000x400	803994	803994	0x0e5e8aedd528e1fc	OK
passage	4x	3000x200	195716	195716	0xf064251490a132d1	OK
passage	16x	1500x100	46344	46344	0x99fbae5d3b7b9bf6	OK
pluto	normal	2100x1300	1987279	1987279	0x15e842ba9e37eef3	OK
pluto	4x	1050x650	489070	489070	0xf37b55599b0f14b9	OK
pluto	16x	525x325	118923	118923	0xc3e30096a3fe5c6e	OK
sanfrancisco	normal	2000x1700	1887961	1887961	0xf5569d1240ae6dea	OK
sanfrancisco	4x	1000x850	464870	464870	0x6a96b46a90623951	OK
sanfrancisco	16x	500x425	112962	112962	0xcc16a5c4372f8a39	OK
sierpinski	normal	1400x1400	582988	582988	0xa6949aeed24d459d	OK
sierpinski	4x	700x700	143268	143268	0xe6ad427e1dd8bd55	OK
sierpinski	16x	350x350	34656	34656	0x4f5e2af1d54e27e5	OK
southamerica	normal	1744x2376	1411064	1411064	0x4afb8cf93f47702d	OK
southamerica	4x	872x1188	342275	342275	0xc0a9e46342fd0008	OK
southamerica	16x	436x594	81160	81160	0x1e4a8145b290a8a3	OK
southeastasia	normal	2812x1672	977094	977094	0xad3181897acb2fa4	OK
southeastasia	4x	1406x836	235008	235008	0xb0aae5bf5b4d707f	OK
southeastasia	16x	703x418	55472	55472	0xd5e2630b2bba1aed	OK
straitofgibraltar	normal	2900x1476	1957694	1957694	0xcf6394479f8a587d	OK
straitofgibraltar	4x	1450x738	486917	486917	0x51149f689a3afdec	OK
straitofgibraltar	16x	725x369	120614	120614	0xe5d7a3a1b9da92c4	OK
straitofhormuz	normal	1800x1200	1255327	1255327	0x1e31b7e3873b8a36	OK
straitofhormuz	4x	900x600	312041	312041	0x6b97c72e03772ba9	OK
straitofhormuz	16x	450x300	77223	77223	0x61150ac381639e88	OK
straitofmalacca	normal	1832x1644	865820	865820	0xf8166c02d20e905c	OK
straitofmalacca	4x	916x822	211494	211494	0x1ff66ee57b2999e5	OK
straitofmalacca	16x	458x411	50740	50740	0x83013accfa473279	OK
surrounded	normal	1976x1976	767607	767607	0xe16d2e09da0f71d4	OK
surrounded	4x	988x988	188986	188986	0x508755ded033cda3	OK
surrounded	16x	494x494	45797	45797	0x1f4b82b887b5a0c1	OK
