# ofcuda_matrix cell onion n=488 nations=0 ticks=60
# engine oracle /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/oracle/onion_n488_nat0_t60.dump
# spawn init    /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/refs/onion_a488_nat0.init.txt
# map          /opt/data/workspaces/skg/openfront-ai/openfront/resources/maps/onion (512x512, land 210555 from BYTES)
# engine land from manifest 210555
### INIT (engine spawn output vs the CUDA spawn/init dump)
init_plane_hash 0x0544019e73d55172 engine_boundary0_hash 0x0544019e73d55172 match yes
per-player owned sets match: yes
engine boundary0 owned_total 15655, port plane owned 15655
BOT 122 sid=124 id=wk147shp spawn_tile=177726 n_owned=52
BOT 123 sid=125 id=q8jb2dnz spawn_tile=174444 n_owned=52
BOT 124 sid=126 id=4yzxt2gp spawn_tile=31396 n_owned=52
BOT 125 sid=127 id=755xej7w spawn_tile=257058 n_owned=52
BOT 126 sid=128 id=hjhprwfn spawn_tile=19637 n_owned=52
BOT 127 sid=129 id=n66i0csf spawn_tile=2272 n_owned=52
BOT 128 sid=130 id=am3stnxi spawn_tile=240007 n_owned=52
BOT 129 sid=131 id=pmeqlcvs spawn_tile=217332 n_owned=52
BOT 130 sid=132 id=xl8vnvj2 spawn_tile=138198 n_owned=52
BOT 131 sid=133 id=0f3l9cg5 spawn_tile=190096 n_owned=52
BOT 132 sid=134 id=siocmotr spawn_tile=202136 n_owned=52
BOT 133 sid=135 id=uf75fjkr spawn_tile=116200 n_owned=52
BOT 134 sid=136 id=3nuksgyo spawn_tile=30260 n_owned=52
BOT 135 sid=137 id=isfwwr01 spawn_tile=214051 n_owned=52
BOT 136 sid=138 id=auuv9uim spawn_tile=138622 n_owned=52
BOT 137 sid=139 id=mdro7fya spawn_tile=103937 n_owned=34
BOT 138 sid=140 id=8qfmz7a7 spawn_tile=15953 n_owned=52
BOT 139 sid=141 id=m8j6zoax spawn_tile=184770 n_owned=52
BOT 140 sid=142 id=7236xcde spawn_tile=102897 n_owned=52
BOT 141 sid=143 id=n4vtdnwp spawn_tile=194254 n_owned=52
BOT 142 sid=144 id=yggevgbl spawn_tile=224839 n_owned=52
BOT 143 sid=145 id=beijdl2w spawn_tile=126779 n_owned=52
BOT 144 sid=146 id=d2oo7mhj spawn_tile=40258 n_owned=52
BOT 145 sid=147 id=wrheiirw spawn_tile=153936 n_owned=52
BOT 146 sid=148 id=d03y3hz5 spawn_tile=60853 n_owned=52
BOT 147 sid=149 id=5xaek3av spawn_tile=213662 n_owned=52
BOT 148 sid=150 id=gz34o9hq spawn_tile=243840 n_owned=52
BOT 149 sid=151 id=37xw489f spawn_tile=201464 n_owned=52
BOT 150 sid=152 id=k3srrvn9 spawn_tile=140208 n_owned=52
BOT 151 sid=153 id=5isbkj04 spawn_tile=155754 n_owned=52
BOT 152 sid=154 id=r73y2vzl spawn_tile=241624 n_owned=52
BOT 153 sid=155 id=36x3kyhk spawn_tile=176592 n_owned=52
BOT 154 sid=156 id=01ob2tlo spawn_tile=164610 n_owned=52
BOT 155 sid=157 id=cb13fbp5 spawn_tile=182578 n_owned=52
BOT 156 sid=158 id=vmmrq63s spawn_tile=42771 n_owned=52
BOT 157 sid=159 id=nkjckjq8 spawn_tile=138369 n_owned=52
BOT 158 sid=160 id=wcggivof spawn_tile=119384 n_owned=52
BOT 159 sid=161 id=1w1ciciy spawn_tile=120023 n_owned=52
BOT 160 sid=162 id=2a0v7iem spawn_tile=237620 n_owned=52
BOT 161 sid=163 id=jcz64pkr spawn_tile=208061 n_owned=52
BOT 162 sid=164 id=v0ljq6tk spawn_tile=51650 n_owned=52
BOT 163 sid=165 id=adg8798c spawn_tile=138250 n_owned=52
BOT 164 sid=166 id=5ghp3e6u spawn_tile=73595 n_owned=52
BOT 165 sid=167 id=h5bdt6q4 spawn_tile=162290 n_owned=52
BOT 166 sid=168 id=5oce5zsz spawn_tile=164038 n_owned=52
BOT 167 sid=169 id=xka3bnm9 spawn_tile=166547 n_owned=52
BOT 168 sid=170 id=3w1tydq6 spawn_tile=19914 n_owned=52
BOT 169 sid=171 id=upd1qyae spawn_tile=13585 n_owned=52
BOT 170 sid=172 id=v4u31rox spawn_tile=1495 n_owned=42
BOT 171 sid=173 id=q9vm95if spawn_tile=237302 n_owned=52
BOT 172 sid=174 id=0yu8n2tu spawn_tile=131851 n_owned=52
BOT 173 sid=175 id=sc2ctn85 spawn_tile=193495 n_owned=52
BOT 174 sid=176 id=z0gmspsi spawn_tile=87089 n_owned=52
BOT 175 sid=177 id=z7avk2un spawn_tile=216367 n_owned=52
BOT 176 sid=178 id=8efmeybn spawn_tile=8493 n_owned=52
BOT 177 sid=179 id=bifxmou2 spawn_tile=208868 n_owned=52
BOT 178 sid=180 id=plh6en5t spawn_tile=257599 n_owned=52
BOT 179 sid=181 id=ay3m2wg5 spawn_tile=156741 n_owned=52
BOT 180 sid=182 id=1zmogxmk spawn_tile=109644 n_owned=52
BOT 181 sid=183 id=55yraoi7 spawn_tile=87741 n_owned=52
BOT 182 sid=184 id=1sc05h43 spawn_tile=102022 n_owned=52
BOT 183 sid=185 id=37ibwik8 spawn_tile=204292 n_owned=52
BOT 184 sid=186 id=uec16uxz spawn_tile=127014 n_owned=52
BOT 185 sid=187 id=9fd5ewrs spawn_tile=77123 n_owned=52
BOT 186 sid=188 id=pe2p79c6 spawn_tile=82419 n_owned=52
BOT 187 sid=189 id=h1r85byk spawn_tile=217004 n_owned=52
BOT 188 sid=190 id=exulggll spawn_tile=110980 n_owned=52
BOT 189 sid=191 id=zouqcp7v spawn_tile=179922 n_owned=52
BOT 190 sid=192 id=k39sgybe spawn_tile=19053 n_owned=52
BOT 191 sid=193 id=orxhfzvz spawn_tile=103677 n_owned=52
BOT 192 sid=194 id=uz8ynaez spawn_tile=118095 n_owned=52
BOT 193 sid=195 id=ubigewsr spawn_tile=154152 n_owned=52
BOT 194 sid=196 id=w0ozvjdh spawn_tile=1160 n_owned=42
BOT 195 sid=197 id=f7yj98q8 spawn_tile=58619 n_owned=52
BOT 196 sid=198 id=2xzw4gp3 spawn_tile=142071 n_owned=52
BOT 197 sid=199 id=9rkdgj28 spawn_tile=259875 n_owned=52
BOT 198 sid=200 id=aw987uy7 spawn_tile=87129 n_owned=52
BOT 199 sid=201 id=gr243zlh spawn_tile=249322 n_owned=52
BOT 200 sid=202 id=zowu9kf4 spawn_tile=152549 n_owned=52
BOT 201 sid=203 id=2dtf8q4x spawn_tile=135747 n_owned=52
BOT 202 sid=204 id=y9oft8w2 spawn_tile=12021 n_owned=52
BOT 203 sid=205 id=ed7kjxq3 spawn_tile=21031 n_owned=52
BOT 204 sid=206 id=nxt1ptsi spawn_tile=178823 n_owned=52
BOT 205 sid=207 id=p825v2fd spawn_tile=48281 n_owned=52
BOT 206 sid=208 id=wyarb4qo spawn_tile=42672 n_owned=52
BOT 207 sid=209 id=qfs7b4z4 spawn_tile=178674 n_owned=52
BOT 208 sid=210 id=ms13gmzm spawn_tile=254465 n_owned=34
BOT 209 sid=211 id=ym8zggo3 spawn_tile=121781 n_owned=52
BOT 210 sid=212 id=8jahbnpg spawn_tile=258195 n_owned=52
BOT 211 sid=213 id=b0djjiez spawn_tile=127840 n_owned=52
BOT 212 sid=214 id=s9xysw8i spawn_tile=13522 n_owned=52
BOT 213 sid=215 id=t3s2qgvc spawn_tile=4187 n_owned=52
BOT 214 sid=216 id=aquue8ni spawn_tile=32215 n_owned=52
BOT 215 sid=217 id=u3k8ktyr spawn_tile=177057 n_owned=52
BOT 216 sid=218 id=i7egn3zz spawn_tile=216017 n_owned=52
BOT 217 sid=219 id=o3vgfhge spawn_tile=257890 n_owned=52
BOT 218 sid=220 id=m4aem5hx spawn_tile=3843 n_owned=52
BOT 219 sid=221 id=p6i95qgo spawn_tile=119983 n_owned=52
BOT 220 sid=222 id=gvho8qeo spawn_tile=119807 n_owned=34
BOT 221 sid=223 id=9iatvpoi spawn_tile=210659 n_owned=52
BOT 222 sid=224 id=zd9jsqbj spawn_tile=226347 n_owned=52
BOT 223 sid=225 id=zw1dwnig spawn_tile=33988 n_owned=52
BOT 224 sid=226 id=be5xt98q spawn_tile=89614 n_owned=52
BOT 225 sid=227 id=522b0ju8 spawn_tile=78456 n_owned=52
BOT 226 sid=228 id=ibxwtyy7 spawn_tile=37752 n_owned=52
BOT 227 sid=229 id=zjhashkb spawn_tile=218749 n_owned=52
BOT 228 sid=230 id=89ttdia6 spawn_tile=44790 n_owned=52
BOT 229 sid=231 id=6o2o0nvl spawn_tile=128656 n_owned=52
BOT 230 sid=232 id=xldl70se spawn_tile=133569 n_owned=52
BOT 231 sid=233 id=qrwgzvzz spawn_tile=29090 n_owned=52
BOT 232 sid=234 id=h711p697 spawn_tile=157037 n_owned=52
BOT 233 sid=235 id=g4ulqqm0 spawn_tile=1025 n_owned=27
BOT 234 sid=236 id=v18jrx10 spawn_tile=13652 n_owned=52
BOT 235 sid=237 id=8sd3i7p8 spawn_tile=189256 n_owned=52
BOT 236 sid=238 id=l5o27mtm spawn_tile=6585 n_owned=52
BOT 237 sid=239 id=b6f6r0t2 spawn_tile=261893 n_owned=34
BOT 238 sid=240 id=7j5a3pfw spawn_tile=261056 n_owned=48
BOT 239 sid=241 id=m5sg1z4l spawn_tile=39826 n_owned=52
BOT 240 sid=242 id=ehpglvfz spawn_tile=83825 n_owned=52
BOT 241 sid=243 id=wu3zthbo spawn_tile=101544 n_owned=52
BOT 242 sid=244 id=yeh875u5 spawn_tile=128000 n_owned=26
BOT 243 sid=245 id=8nuwzyn1 spawn_tile=259806 n_owned=52
BOT 244 sid=246 id=t0zwn9eb spawn_tile=141088 n_owned=52
BOT 245 sid=247 id=8zjwwdck spawn_tile=164865 n_owned=34
BOT 246 sid=248 id=jwrhd5ij spawn_tile=1939 n_owned=48
BOT 247 sid=249 id=jyb8rp14 spawn_tile=139602 n_owned=52
BOT 248 sid=250 id=wl7sxu3v spawn_tile=257729 n_owned=52
BOT 249 sid=251 id=y0r0fu1j spawn_tile=186210 n_owned=52
BOT 250 sid=252 id=kneohbbr spawn_tile=223913 n_owned=52
BOT 251 sid=253 id=qc8m814x spawn_tile=161562 n_owned=52
BOT 252 sid=254 id=ix3jngmf spawn_tile=64714 n_owned=52
BOT 253 sid=255 id=9mzpcgft spawn_tile=213070 n_owned=52
BOT 254 sid=256 id=l5z5w588 spawn_tile=39422 n_owned=42
BOT 255 sid=257 id=pt0jqntf spawn_tile=68037 n_owned=52
BOT 256 sid=258 id=2e8alk85 spawn_tile=164825 n_owned=52
BOT 257 sid=259 id=hwe3kfal spawn_tile=245102 n_owned=52
BOT 258 sid=260 id=47li627l spawn_tile=31518 n_owned=52
BOT 259 sid=261 id=3asdumaj spawn_tile=68769 n_owned=52
BOT 260 sid=262 id=l75txeu7 spawn_tile=6772 n_owned=52
BOT 261 sid=263 id=tbcz7mf1 spawn_tile=94791 n_owned=52
BOT 262 sid=264 id=o1ilw638 spawn_tile=128200 n_owned=52
BOT 263 sid=265 id=la4ytzgl spawn_tile=172864 n_owned=52
BOT 264 sid=266 id=in2bq49j spawn_tile=260596 n_owned=52
BOT 265 sid=267 id=5irnw7ij spawn_tile=218896 n_owned=52
BOT 266 sid=268 id=noxeflvy spawn_tile=127726 n_owned=52
BOT 267 sid=269 id=8gn7568f spawn_tile=209221 n_owned=52
BOT 268 sid=270 id=5c1omdu5 spawn_tile=261751 n_owned=34
BOT 269 sid=271 id=yc2b3pvx spawn_tile=58368 n_owned=26
BOT 270 sid=272 id=lml55dcl spawn_tile=114304 n_owned=52
BOT 271 sid=273 id=1o5etbis spawn_tile=146885 n_owned=52
BOT 272 sid=274 id=bulnhjw5 spawn_tile=201879 n_owned=52
BOT 273 sid=275 id=c6y4cfry spawn_tile=212988 n_owned=52
BOT 274 sid=276 id=kbpw8sak spawn_tile=226916 n_owned=52
BOT 275 sid=277 id=65e8qmsr spawn_tile=183995 n_owned=52
BOT 276 sid=278 id=furhe0mp spawn_tile=141858 n_owned=52
BOT 277 sid=279 id=92npvjrt spawn_tile=235959 n_owned=52
BOT 278 sid=280 id=c56xdfdl spawn_tile=89743 n_owned=52
BOT 279 sid=281 id=jul4zb4e spawn_tile=76800 n_owned=26
BOT 280 sid=282 id=mpuzdlvw spawn_tile=98401 n_owned=52
BOT 281 sid=283 id=plrlx715 spawn_tile=12668 n_owned=52
BOT 282 sid=284 id=yl9vsjpk spawn_tile=62831 n_owned=52
